Indicator,Percent of children considered to be poor (<100% FPG) by Race / Ethnicity
Source,"SHADAC analysis of the American Community Survey (ACS) Public Use Microdata Sample (PUMS) files.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The margin of error (MOE) represents the uncertainty of an estimate due to sampling variability; the calculated MOE is 95%. N/A indicates that data were not available or suppressed because the number of sample cases was too small. Data for 2020 were <a href="https://www.shadac.org/news/changes-to-2020-acs-data-release-US-Census" target="_blank">not officially released by the U.S. Census Bureau</a> due to pandemic-related disruptions to data collection and resulting problems with data quality. Because of<a href="https://www.census.gov/newsroom/blogs/random-samplings/2021/08/improvements-to-2020-census-race-hispanic-origin-question-designs.html" target="_blank"> changes made in 2020 to how the ACS measures race and ethnicity</a>, caution should be used when comparing data by race and ethnicity from 2021 and later to data from 2019 and earlier."
Description,"Percent of children considered to be poor (&lt;100% FPG) by race and ethnicity. The Federal Poverty Guidelines (FPG) set the minimum amount of total income that a family needs for food, clothing, transportation, shelter and other necessities."
01,Alabama,Other / Multiple Races,2010,Percent,0.279,7.8008003500000006E-2
01,Alabama,White,2009,Percent,0.1802,1.70520004E-2
01,Alabama,African-American / Black,2009,Percent,0.4965,3.3516000999999997E-2
01,Alabama,Hispanic / Latino,2009,Percent,0.4989,8.9180000100000004E-2
01,Alabama,Other / Multiple Races,2009,Percent,0.3304,7.5851999200000006E-2
01,Alabama,White,2008,Percent,0.153,1.58760007E-2
01,Alabama,African-American / Black,2008,Percent,0.4227,3.39079984E-2
01,Alabama,Hispanic / Latino,2008,Percent,0.3854,9.6823997800000006E-2
01,Alabama,Other / Multiple Races,2008,Percent,0.2228,7.5851999200000006E-2
01,Alabama,African-American / Black,2017,Percent,0.4646,3.9004000000000004E-2
01,Alabama,Hispanic / Latino,2017,Percent,0.4254,8.3299999999999999E-2
01,Alabama,Other / Multiple Races,2017,Percent,0.266,6.9972000000000006E-2
01,Alabama,White,2017,Percent,0.1785,1.9404000000000001E-2
01,Alabama,African-American / Black,2018,Percent,0.4652,4.1943999999999995E-2
01,Alabama,Hispanic / Latino,2018,Percent,0.4278,8.8003999999999999E-2
01,Alabama,Other / Multiple Races,2018,Percent,0.2645,7.2323999999999999E-2
01,Alabama,White,2018,Percent,0.1684,1.8423999999999999E-2
01,Alabama,African-American / Black,2019,Percent,0.3706,3.9591999999999995E-2
01,Alabama,Hispanic / Latino,2019,Percent,0.3243,8.0752000000000004E-2
01,Alabama,Other / Multiple Races,2019,Percent,0.2415,6.762E-2
01,Alabama,White,2019,Percent,0.1527,1.7836000000000001E-2
01,Alabama,African-American / Black,2021,Percent,0.41552,4.3643754618468929E-2
01,Alabama,Hispanic / Latino,2021,Percent,0.31784,7.375004028307805E-2
01,Alabama,Other / Multiple Races,2021,Percent,0.24714,6.2326897135935755E-2
01,Alabama,White,2021,Percent,0.13524,1.6635576783201423E-2
02,Alaska,African-American / Black,2016,Percent,N/A,N/A
02,Alaska,White,2016,Percent,0.1218,5.4292000799999997E-2
02,Alaska,Other / Multiple Races,2016,Percent,0.3181,7.2912000099999999E-2
02,Alaska,Hispanic / Latino,2016,Percent,0.4842,0.1991360039
02,Alaska,White,2015,Percent,0.177,6.2132000899999998E-2
02,Alaska,African-American / Black,2015,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2015,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2015,Percent,0.3819,8.95719975E-2
02,Alaska,White,2014,Percent,0.1129,5.1352001699999997E-2
02,Alaska,African-American / Black,2014,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2014,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2014,Percent,0.3318,8.8395997899999995E-2
02,Alaska,White,2013,Percent,0.103,3.78279984E-2
02,Alaska,African-American / Black,2013,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2013,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2013,Percent,0.3277,7.56559968E-2
02,Alaska,White,2012,Percent,0.1095,3.7239998599999997E-2
02,Alaska,African-American / Black,2012,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2012,Percent,0.363,0.16444399949999999
02,Alaska,Other / Multiple Races,2012,Percent,0.4265,8.3300001900000004E-2
02,Alaska,White,2011,Percent,0.1629,6.2327999600000003E-2
02,Alaska,African-American / Black,2011,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2011,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2011,Percent,0.3192,7.5067996999999997E-2
02,Alaska,White,2010,Percent,0.1488,4.3708000300000001E-2
02,Alaska,African-American / Black,2010,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2010,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2010,Percent,0.3413,6.1935998499999999E-2
02,Alaska,White,2009,Percent,0.1319,4.0768001200000001E-2
02,Alaska,African-American / Black,2009,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2009,Percent,0.3301,0.1779679954
02,Alaska,Other / Multiple Races,2009,Percent,0.328,6.9384001200000003E-2
02,Alaska,White,2008,Percent,0.116,4.0768001200000001E-2
02,Alaska,African-American / Black,2008,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2008,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2008,Percent,0.2885,6.2916003200000001E-2
02,Alaska,African-American / Black,2017,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2017,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2017,Percent,0.3602,8.8200000000000001E-2
02,Alaska,White,2017,Percent,0.1544,5.7428E-2
02,Alaska,African-American / Black,2018,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2018,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2018,Percent,0.3281,8.4867999999999999E-2
02,Alaska,White,2018,Percent,0.1284,4.41E-2
02,Alaska,African-American / Black,2019,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2019,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2019,Percent,0.2637,7.2911999999999991E-2
02,Alaska,White,2019,Percent,0.1051,3.7435999999999997E-2
02,Alaska,African-American / Black,2021,Percent,N/A,N/A
02,Alaska,Hispanic / Latino,2021,Percent,N/A,N/A
02,Alaska,Other / Multiple Races,2021,Percent,0.2876,7.9218865577939571E-2
02,Alaska,White,2021,Percent,0.1173,4.6708681360718304E-2
04,Arizona,White,2016,Percent,0.1618,1.8816001700000001E-2
04,Arizona,African-American / Black,2016,Percent,0.3585,7.4284002200000004E-2
04,Arizona,Other / Multiple Races,2016,Percent,0.3437,3.6063998899999998E-2
04,Arizona,Hispanic / Latino,2016,Percent,0.3929,2.4892000500000001E-2
04,Arizona,White,2015,Percent,0.1651,1.7836000800000001E-2
04,Arizona,African-American / Black,2015,Percent,0.3412,7.6243996600000002E-2
04,Arizona,Hispanic / Latino,2015,Percent,0.3983,2.4695999900000001E-2
04,Arizona,Other / Multiple Races,2015,Percent,0.3351,3.6848001200000001E-2
04,Arizona,White,2014,Percent,0.1553,1.8228000000000001E-2
04,Arizona,African-American / Black,2014,Percent,0.4442,8.1339999999999996E-2
04,Arizona,Hispanic / Latino,2014,Percent,0.4111,2.52839997E-2
04,Arizona,Other / Multiple Races,2014,Percent,0.3397,3.90040018E-2
04,Arizona,White,2013,Percent,0.1674,1.84240006E-2
04,Arizona,African-American / Black,2013,Percent,0.3888,8.0752000199999993E-2
04,Arizona,Hispanic / Latino,2013,Percent,0.4311,2.4892000500000001E-2
04,Arizona,Other / Multiple Races,2013,Percent,0.371,3.6260001399999998E-2
04,Arizona,White,2012,Percent,0.1751,1.80319995E-2
04,Arizona,African-American / Black,2012,Percent,0.3351,7.5067996999999997E-2
04,Arizona,Hispanic / Latino,2012,Percent,0.4003,2.44999994E-2
04,Arizona,Other / Multiple Races,2012,Percent,0.3895,3.88079993E-2
04,Arizona,White,2011,Percent,0.1786,1.99919995E-2
04,Arizona,African-American / Black,2011,Percent,0.2979,8.4476001600000003E-2
04,Arizona,Hispanic / Latino,2011,Percent,0.4326,2.6655999900000001E-2
04,Arizona,Other / Multiple Races,2011,Percent,0.3774,4.1551999700000002E-2
04,Arizona,White,2010,Percent,0.1794,1.68559998E-2
04,Arizona,African-American / Black,2010,Percent,0.3444,7.3891997299999998E-2
04,Arizona,Hispanic / Latino,2010,Percent,0.3964,2.3716000800000001E-2
04,Arizona,Other / Multiple Races,2010,Percent,0.3043,3.7631999700000002E-2
04,Arizona,White,2009,Percent,0.1502,1.6464000600000001E-2
04,Arizona,African-American / Black,2009,Percent,0.3853,8.0360002799999997E-2
04,Arizona,Hispanic / Latino,2009,Percent,0.3853,2.3911999499999999E-2
04,Arizona,Other / Multiple Races,2009,Percent,0.3298,4.2139999599999999E-2
04,Arizona,White,2008,Percent,0.1077,1.31320003E-2
04,Arizona,African-American / Black,2008,Percent,0.2885,7.9576000600000002E-2
04,Arizona,Hispanic / Latino,2008,Percent,0.3629,2.3911999499999999E-2
04,Arizona,Other / Multiple Races,2008,Percent,0.3272,4.2532000700000003E-2
04,Arizona,African-American / Black,2017,Percent,0.4061,8.1927999999999987E-2
04,Arizona,Hispanic / Latino,2017,Percent,0.3349,2.3519999999999999E-2
04,Arizona,Other / Multiple Races,2017,Percent,0.2953,3.6847999999999999E-2
04,Arizona,White,2017,Percent,0.1452,1.7247999999999999E-2
04,Arizona,African-American / Black,2018,Percent,0.3041,7.7420000000000003E-2
04,Arizona,Hispanic / Latino,2018,Percent,0.3303,2.4303999999999999E-2
04,Arizona,Other / Multiple Races,2018,Percent,0.3359,4.1551999999999999E-2
04,Arizona,White,2018,Percent,0.1267,1.6268000000000001E-2
04,Arizona,African-American / Black,2019,Percent,0.2872,8.1731999999999999E-2
04,Arizona,Hispanic / Latino,2019,Percent,0.2808,2.4695999999999999E-2
04,Arizona,Other / Multiple Races,2019,Percent,0.2812,3.5867999999999997E-2
04,Arizona,White,2019,Percent,0.1127,1.6071999999999999E-2
04,Arizona,African-American / Black,2021,Percent,0.28984,7.2822098632962448E-2
04,Arizona,Hispanic / Latino,2021,Percent,0.24705,2.2133899185569732E-2
04,Arizona,Other / Multiple Races,2021,Percent,0.22765,3.1612310661776645E-2
04,Arizona,White,2021,Percent,0.09382,1.4338636028061794E-2
05,Arkansas,African-American / Black,2016,Percent,0.4536,6.3699997999999994E-2
05,Arkansas,White,2016,Percent,0.2162,2.5284001600000001E-2
05,Arkansas,Other / Multiple Races,2016,Percent,0.3555,8.0752000199999993E-2
05,Arkansas,Hispanic / Latino,2016,Percent,0.4134,8.6240000999999997E-2
05,Arkansas,White,2015,Percent,0.2365,2.44999994E-2
05,Arkansas,African-American / Black,2015,Percent,0.4961,6.2523998299999994E-2
05,Arkansas,Hispanic / Latino,2015,Percent,0.5016,8.8592000300000001E-2
05,Arkansas,Other / Multiple Races,2015,Percent,0.3349,9.2119999199999997E-2
05,Arkansas,White,2014,Percent,0.2559,2.64599994E-2
05,Arkansas,African-American / Black,2014,Percent,0.5008,6.1151999999999998E-2
05,Arkansas,Hispanic / Latino,2014,Percent,0.4594,7.9576000600000002E-2
05,Arkansas,Other / Multiple Races,2014,Percent,0.2789,9.3492001300000002E-2
05,Arkansas,White,2013,Percent,0.2384,2.4304000700000002E-2
05,Arkansas,African-American / Black,2013,Percent,0.5668,6.0759998900000001E-2
05,Arkansas,Hispanic / Latino,2013,Percent,0.4788,8.6240000999999997E-2
05,Arkansas,Other / Multiple Races,2013,Percent,0.2963,9.17280018E-2
05,Arkansas,White,2012,Percent,0.254,2.52839997E-2
05,Arkansas,African-American / Black,2012,Percent,0.4536,5.8603998300000001E-2
05,Arkansas,Hispanic / Latino,2012,Percent,0.3993,7.8203998499999997E-2
05,Arkansas,Other / Multiple Races,2012,Percent,0.3061,8.1143997600000004E-2
05,Arkansas,White,2011,Percent,0.2296,2.44999994E-2
05,Arkansas,African-American / Black,2011,Percent,0.469,5.8212000899999998E-2
05,Arkansas,Hispanic / Latino,2011,Percent,0.4483,0.1003519967
05,Arkansas,Other / Multiple Races,2011,Percent,0.3457,0.1160319969
05,Arkansas,White,2010,Percent,0.2386,2.4108000099999999E-2
05,Arkansas,African-American / Black,2010,Percent,0.5216,5.46839982E-2
05,Arkansas,Hispanic / Latino,2010,Percent,0.441,8.2907997100000005E-2
05,Arkansas,Other / Multiple Races,2010,Percent,0.3008,8.95719975E-2
05,Arkansas,White,2009,Percent,0.2185,2.23440006E-2
05,Arkansas,African-American / Black,2009,Percent,0.5512,5.8212000899999998E-2
05,Arkansas,Hispanic / Latino,2009,Percent,0.4776,7.9379998100000002E-2
05,Arkansas,Other / Multiple Races,2009,Percent,0.3559,8.7219998199999996E-2
05,Arkansas,White,2008,Percent,0.1981,2.0972000399999999E-2
05,Arkansas,African-American / Black,2008,Percent,0.5007,5.6644000100000001E-2
05,Arkansas,Hispanic / Latino,2008,Percent,0.4228,8.4083996699999997E-2
05,Arkansas,Other / Multiple Races,2008,Percent,0.2289,7.1148000700000005E-2
05,Arkansas,African-American / Black,2017,Percent,0.4258,6.4484E-2
05,Arkansas,Hispanic / Latino,2017,Percent,0.3786,7.3499999999999996E-2
05,Arkansas,Other / Multiple Races,2017,Percent,0.2363,7.0559999999999998E-2
05,Arkansas,White,2017,Percent,0.1936,2.3715999999999997E-2
05,Arkansas,African-American / Black,2018,Percent,0.4735,6.6052E-2
05,Arkansas,Hispanic / Latino,2018,Percent,0.356,7.2520000000000001E-2
05,Arkansas,Other / Multiple Races,2018,Percent,0.2517,7.0952000000000001E-2
05,Arkansas,White,2018,Percent,0.2131,2.4303999999999999E-2
05,Arkansas,African-American / Black,2019,Percent,0.4658,6.9384000000000001E-2
05,Arkansas,Hispanic / Latino,2019,Percent,0.2856,7.2716000000000003E-2
05,Arkansas,Other / Multiple Races,2019,Percent,0.2295,8.3299999999999999E-2
05,Arkansas,White,2019,Percent,0.1929,2.4891999999999997E-2
05,Arkansas,African-American / Black,2021,Percent,0.38824,6.688526523626645E-2
05,Arkansas,Hispanic / Latino,2021,Percent,0.2628,6.0073148830606202E-2
05,Arkansas,Other / Multiple Races,2021,Percent,0.16836,4.6796853388957997E-2
05,Arkansas,White,2021,Percent,0.17927,2.4060896410988863E-2
06,California,White,2016,Percent,0.1303,8.0359996999999992E-3
06,California,Other / Multiple Races,2016,Percent,0.1632,1.09759998E-2
06,California,African-American / Black,2016,Percent,0.3674,2.9791999600000001E-2
06,California,Hispanic / Latino,2016,Percent,0.3421,9.2120003000000002E-3
06,California,White,2015,Percent,0.1401,8.4279999000000001E-3
06,California,African-American / Black,2015,Percent,0.3769,3.03799994E-2
06,California,Hispanic / Latino,2015,Percent,0.3728,9.2120003000000002E-3
06,California,Other / Multiple Races,2015,Percent,0.1668,1.0780000099999999E-2
06,California,White,2014,Percent,0.1359,8.0359996999999992E-3
06,California,African-American / Black,2014,Percent,0.4306,3.0575999999999999E-2
06,California,Hispanic / Latino,2014,Percent,0.3787,9.0159996999999992E-3
06,California,Other / Multiple Races,2014,Percent,0.1684,1.1760000099999999E-2
06,California,White,2013,Percent,0.1428,8.0359996999999992E-3
06,California,African-American / Black,2013,Percent,0.4337,2.8812000500000001E-2
06,California,Hispanic / Latino,2013,Percent,0.3942,9.2120003000000002E-3
06,California,Other / Multiple Races,2013,Percent,0.1713,1.0780000099999999E-2
06,California,White,2012,Percent,0.1434,8.8200000999999993E-3
06,California,African-American / Black,2012,Percent,0.4146,2.9203999800000002E-2
06,California,Hispanic / Latino,2012,Percent,0.3908,9.0159996999999992E-3
06,California,Other / Multiple Races,2012,Percent,0.1776,1.13679999E-2
06,California,White,2011,Percent,0.1336,8.4279999000000001E-3
06,California,African-American / Black,2011,Percent,0.3768,2.8615999999999999E-2
06,California,Hispanic / Latino,2011,Percent,0.3846,9.2120003000000002E-3
06,California,Other / Multiple Races,2011,Percent,0.1853,1.19559998E-2
06,California,White,2010,Percent,0.1323,7.4479999000000002E-3
06,California,African-American / Black,2010,Percent,0.3634,2.6068000099999999E-2
06,California,Hispanic / Latino,2010,Percent,0.3781,8.8200000999999993E-3
06,California,Other / Multiple Races,2010,Percent,0.1713,1.1563999599999999E-2
06,California,White,2009,Percent,0.122,7.0560001999999998E-3
06,California,African-American / Black,2009,Percent,0.355,2.6068000099999999E-2
06,California,Hispanic / Latino,2009,Percent,0.3615,8.8200000999999993E-3
06,California,Other / Multiple Races,2009,Percent,0.163,1.09759998E-2
06,California,White,2008,Percent,0.1138,6.8600001000000002E-3
06,California,African-American / Black,2008,Percent,0.3196,2.5871999600000001E-2
06,California,Hispanic / Latino,2008,Percent,0.3168,8.8200000999999993E-3
06,California,Other / Multiple Races,2008,Percent,0.1466,1.11720003E-2
06,California,African-American / Black,2017,Percent,0.3335,3.0771999999999997E-2
06,California,Hispanic / Latino,2017,Percent,0.3135,9.0159999999999997E-3
06,California,Other / Multiple Races,2017,Percent,0.142,9.9959999999999997E-3
06,California,White,2017,Percent,0.1157,7.8399999999999997E-3
06,California,African-American / Black,2018,Percent,0.3531,3.2927999999999999E-2
06,California,Hispanic / Latino,2018,Percent,0.3009,9.2119999999999997E-3
06,California,Other / Multiple Races,2018,Percent,0.1287,9.4079999999999997E-3
06,California,White,2018,Percent,0.1185,8.0359999999999997E-3
06,California,African-American / Black,2019,Percent,0.3239,3.1751999999999996E-2
06,California,Hispanic / Latino,2019,Percent,0.261,9.2119999999999997E-3
06,California,Other / Multiple Races,2019,Percent,0.1102,8.8199999999999997E-3
06,California,White,2019,Percent,0.0932,7.4479999999999998E-3
06,California,African-American / Black,2021,Percent,0.3037,3.19656168125921E-2
06,California,Hispanic / Latino,2021,Percent,0.24763,8.5371666352563949E-3
06,California,Other / Multiple Races,2021,Percent,0.13017,9.4921721689056378E-3
06,California,White,2021,Percent,0.10177,8.5482019884604351E-3
08,Colorado,Other / Multiple Races,2016,Percent,0.1619,4.3120000499999998E-2
08,Colorado,Hispanic / Latino,2016,Percent,0.2623,3.0575999999999999E-2
08,Colorado,White,2016,Percent,0.1004,1.39159998E-2
08,Colorado,African-American / Black,2016,Percent,0.369,9.50600058E-2
08,Colorado,White,2015,Percent,0.1056,1.29359998E-2
08,Colorado,African-American / Black,2015,Percent,0.353,9.17280018E-2
08,Colorado,Hispanic / Latino,2015,Percent,0.2985,3.2143998899999998E-2
08,Colorado,Other / Multiple Races,2015,Percent,0.1809,4.5667998500000001E-2
08,Colorado,White,2014,Percent,0.1107,1.3523999599999999E-2
08,Colorado,African-American / Black,2014,Percent,0.3119,8.6043998600000005E-2
08,Colorado,Hispanic / Latino,2014,Percent,0.3416,3.39079984E-2
08,Colorado,Other / Multiple Races,2014,Percent,0.1747,4.1551999700000002E-2
08,Colorado,White,2013,Percent,0.1129,1.3523999599999999E-2
08,Colorado,African-American / Black,2013,Percent,0.3909,9.8195999899999997E-2
08,Colorado,Hispanic / Latino,2013,Percent,0.3501,3.4299999499999997E-2
08,Colorado,Other / Multiple Races,2013,Percent,0.1795,4.5079998699999999E-2
08,Colorado,White,2012,Percent,0.1196,1.4308E-2
08,Colorado,African-American / Black,2012,Percent,0.4838,9.2119999199999997E-2
08,Colorado,Hispanic / Latino,2012,Percent,0.3657,3.4495998200000003E-2
08,Colorado,Other / Multiple Races,2012,Percent,0.2089,6.3504003000000003E-2
08,Colorado,White,2011,Percent,0.1165,1.4308E-2
08,Colorado,African-American / Black,2011,Percent,0.4674,0.10054799909999999
08,Colorado,Hispanic / Latino,2011,Percent,0.3553,3.58680002E-2
08,Colorado,Other / Multiple Races,2011,Percent,0.1736,4.1551999700000002E-2
08,Colorado,White,2010,Percent,0.1229,1.5288E-2
08,Colorado,African-American / Black,2010,Percent,0.3505,8.8395997899999995E-2
08,Colorado,Hispanic / Latino,2010,Percent,0.3403,3.0772000599999998E-2
08,Colorado,Other / Multiple Races,2010,Percent,0.202,4.9784001000000001E-2
08,Colorado,White,2009,Percent,0.1078,1.29359998E-2
08,Colorado,African-American / Black,2009,Percent,0.4088,8.8004000499999999E-2
08,Colorado,Hispanic / Latino,2009,Percent,0.392,3.48879993E-2
08,Colorado,Other / Multiple Races,2009,Percent,0.1552,4.29240018E-2
08,Colorado,White,2008,Percent,0.0949,1.2740000200000001E-2
08,Colorado,African-American / Black,2008,Percent,0.2944,7.9967997999999998E-2
08,Colorado,Hispanic / Latino,2008,Percent,0.3396,3.6063998899999998E-2
08,Colorado,Other / Multiple Races,2008,Percent,0.1288,4.19440009E-2
08,Colorado,African-American / Black,2017,Percent,0.156,6.4287999999999998E-2
08,Colorado,Hispanic / Latino,2017,Percent,0.2425,3.0575999999999999E-2
08,Colorado,Other / Multiple Races,2017,Percent,0.1453,3.7239999999999995E-2
08,Colorado,White,2017,Percent,0.0977,1.176E-2
08,Colorado,African-American / Black,2018,Percent,0.2574,8.4475999999999996E-2
08,Colorado,Hispanic / Latino,2018,Percent,0.229,2.9987999999999997E-2
08,Colorado,Other / Multiple Races,2018,Percent,0.1662,4.6255999999999999E-2
08,Colorado,White,2018,Percent,0.0897,1.2936E-2
08,Colorado,African-American / Black,2019,Percent,0.3368,0.10427199999999999
08,Colorado,Hispanic / Latino,2019,Percent,0.2135,3.1751999999999996E-2
08,Colorado,Other / Multiple Races,2019,Percent,0.1174,4.5471999999999999E-2
08,Colorado,White,2019,Percent,0.0687,1.0584E-2
08,Colorado,African-American / Black,2021,Percent,0.2502,0.10384841346557312
08,Colorado,Hispanic / Latino,2021,Percent,0.21479,3.024164687493297E-2
08,Colorado,Other / Multiple Races,2021,Percent,0.09806,2.6845520529146696E-2
08,Colorado,White,2021,Percent,0.07813,1.2535750343548398E-2
09,Connecticut,Hispanic / Latino,2016,Percent,0.3265,4.6256001999999997E-2
09,Connecticut,African-American / Black,2016,Percent,0.3015,6.60520047E-2
09,Connecticut,White,2016,Percent,0.0723,1.4308E-2
09,Connecticut,Other / Multiple Races,2016,Percent,0.1402,4.8804E-2
09,Connecticut,White,2015,Percent,0.0645,1.2348E-2
09,Connecticut,African-American / Black,2015,Percent,0.2915,5.8995999399999999E-2
09,Connecticut,Hispanic / Latino,2015,Percent,0.3676,4.70400006E-2
09,Connecticut,Other / Multiple Races,2015,Percent,0.1172,4.1159998599999997E-2
09,Connecticut,White,2014,Percent,0.0695,1.3523999599999999E-2
09,Connecticut,African-American / Black,2014,Percent,0.3144,6.6639997100000001E-2
09,Connecticut,Hispanic / Latino,2014,Percent,0.3531,4.6844001900000001E-2
09,Connecticut,Other / Multiple Races,2014,Percent,0.1331,4.3512001600000003E-2
09,Connecticut,White,2013,Percent,0.0852,1.50920004E-2
09,Connecticut,African-American / Black,2013,Percent,0.3196,7.0951998200000005E-2
09,Connecticut,Hispanic / Latino,2013,Percent,0.3999,4.78239991E-2
09,Connecticut,Other / Multiple Races,2013,Percent,0.1326,5.17439991E-2
09,Connecticut,White,2012,Percent,0.075,1.3328E-2
09,Connecticut,African-American / Black,2012,Percent,0.3607,6.4287997799999996E-2
09,Connecticut,Hispanic / Latino,2012,Percent,0.3835,4.5667998500000001E-2
09,Connecticut,Other / Multiple Races,2012,Percent,0.1263,4.0768001200000001E-2
09,Connecticut,White,2011,Percent,0.0721,1.2740000200000001E-2
09,Connecticut,African-American / Black,2011,Percent,0.3823,6.6444002099999996E-2
09,Connecticut,Hispanic / Latino,2011,Percent,0.3947,4.9391999800000003E-2
09,Connecticut,Other / Multiple Races,2011,Percent,0.1082,3.9788000300000001E-2
09,Connecticut,White,2010,Percent,0.0691,1.31320003E-2
09,Connecticut,African-American / Black,2010,Percent,0.3149,6.0564000200000002E-2
09,Connecticut,Hispanic / Latino,2010,Percent,0.3497,4.4296000199999998E-2
09,Connecticut,Other / Multiple Races,2010,Percent,0.1624,4.9196001099999997E-2
09,Connecticut,White,2009,Percent,0.0734,1.2543999599999999E-2
09,Connecticut,African-American / Black,2009,Percent,0.319,6.1544001100000002E-2
09,Connecticut,Hispanic / Latino,2009,Percent,0.3571,4.78239991E-2
09,Connecticut,Other / Multiple Races,2009,Percent,0.1359,4.7628000400000002E-2
09,Connecticut,White,2008,Percent,0.0561,1.05839996E-2
09,Connecticut,African-American / Black,2008,Percent,0.3217,6.4484000200000002E-2
09,Connecticut,Hispanic / Latino,2008,Percent,0.3286,4.6255998299999997E-2
09,Connecticut,Other / Multiple Races,2008,Percent,0.1662,6.4287997799999996E-2
09,Connecticut,African-American / Black,2017,Percent,0.2583,5.7428E-2
09,Connecticut,Hispanic / Latino,2017,Percent,0.2875,4.5079999999999995E-2
